Time,Name,Unit,Year,Month,Day,Hour,Consumption,Temp_outside,Käyttötarkoitus,Bruttoala,Kerrosala,Huoneistoala,Kokonaistilavuus,Rakennustyyppi,ids
2020-01-24 22:00:00.000,Lämpö,MWh,2020,1,24,22,0.109,1.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-02-07 19:00:00.000,Lämpö,MWh,2023,2,7,19,0.112,0.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-02-13 20:00:00.000,Lämpö,MWh,2022,2,13,20,0.053,2.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-05-01 19:00:00.000,"Sähkö, Pätö",kWh,2022,5,1,19,8.77300000004471,5.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-06-02 12:00:00.000,"Sähkö, Pätö",kWh,2023,6,2,12,45.5520000000112,9.7,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-02-21 09:00:00.000,"Sähkö, Pätö",kWh,2020,2,21,9,77.1509999999544,2.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-05-18 22:00:00.000,"Sähkö, Pätö",kWh,2020,5,18,22,7.42499999993015,3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-01-19 03:00:00.000,"Sähkö, Pätö",kWh,2022,1,19,3,10.9860000000335,4.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-05-23 09:00:00.000,Lämpö,MWh,2023,5,23,9,0.028,16,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-05-06 02:00:00.000,"Sähkö, Pätö",kWh,2022,5,6,2,19.8330000001006,1.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-01-17 13:00:00.000,Lämpö,MWh,2023,1,17,13,0.13,0.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
